,word_lvl_MEMM,sent_lvl_MEMM,word_lvl_simple_tagger,sent_lvl_simple_tagger,word_lvl_HMM,sent_lvl_HMM,word_lvl_IMPROVED,sent_lvl_IMPROVED
dev,0.8538369064315768,0.8772791023842917,0.8837908234822681,0.2837958818263205,0.8716189140452815,0.0,0.8676117010619114,0.3043867502238138
test,0.8324822765356205,0.855832631004908,0.8666898021912647,0.21441605839416059,0.8539983144117793,0.0018248175182481751,0.8499330722324129,0.3043867502238138
