,N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
0,Model1,500,1,1,0.9318766066838047,0.9346933804903965,0.9398945183744063,0.7932564330079858,0.8431312655161385,0.9019932190806497
1,Model2,500,2,1,0.8665038080183934,0.8899618280741871,0.9354932265528338,0.757439134355275,0.786041940644362,0.8493825596652154
2,Model3,500,3,1,0.857286576602472,0.8820224705116102,0.9318798760460694,0.7145390070921985,0.7465735973857757,0.8303327624769301
3,Model4,500,1,2,0.9519769949676492,0.9509393247346278,0.9504824601340909,0.7904676258992805,0.8493395324957711,0.9234755569267923
4,Model5,500,2,2,0.9346246973365617,0.9390273487187615,0.9476149509013513,0.8404740200546946,0.8742011260047667,0.9125063816846322
5,Model6,500,3,2,0.9042705646316996,0.9170213181783576,0.9408942718049589,0.8126696832579186,0.8376580433678257,0.8848766446574323
6,Model7,800,1,2,0.9519553072625698,0.9517334234966028,0.9520452981001872,0.8045045045045045,0.856060535607214,0.9166697727084611
7,Model8,800,2,2,0.9357163040406895,0.9409221840370743,0.9511961858230438,0.8543516873889876,0.8833937786433135,0.9160782651797175
8,Model9,800,3,2,0.906749172542812,0.9190659445688448,0.9442304267741674,0.8331822302810517,0.8527778515623202,0.8827209069011493
