,N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
0,Model1,500,1,1,0.9123107683518995,0.9098911615893143,0.9134837523822863,0.6654835847382431,0.7381768023767006,0.8699854047791636
1,Model2,500,2,1,0.9259951142405518,0.9208153785214092,0.9202168264602829,0.6239855725879171,0.7285231803372388,0.8918690137382367
2,Model3,500,3,1,0.9118999712561081,0.8980832252911201,0.9081468265262332,0.4698581560283688,0.6064183051326384,0.9012939821512984
3,Model4,500,1,2,0.9279654924514738,0.9237460994190113,0.9250034105540103,0.6348920863309353,0.7341531035374703,0.8877363753479662
4,Model5,500,2,2,0.9377581541091012,0.9356091126451088,0.9346894432932383,0.7392889699179581,0.8224315499795728,0.9321444375359593
5,Model6,500,3,2,0.9365147606764116,0.9296967826677578,0.933299806995777,0.6452488687782806,0.7498884501447196,0.9262022308693271
6,Model7,800,1,2,0.9201117318435754,0.908029554400104,0.9192795994466417,0.5135135135135135,0.6510573265892241,0.9453934006452106
7,Model8,800,2,2,0.9374116982198362,0.9305300150677944,0.9354378336167927,0.6198934280639432,0.7343718890530905,0.9431021392176047
8,Model9,800,3,2,0.9375449704993524,0.9379062741535428,0.940451247943135,0.742520398912058,0.806603692449888,0.8912157875359598
