,en,es,in,it,pt,fr,nl,tl
en,10.33806691611821,16.474109180505028,17.01840423618696,16.631911204992218,18.288204630111842,14.899285066148648,14.502935701638432,17.119992795079266
es,17.63989029134807,10.737128299803656,19.70660794233712,16.048444848130316,15.29506554218005,14.313497985861718,16.641763313935652,20.726119398130052
in,17.88632475383232,18.996914018800027,13.520893210331996,19.269809649672126,21.19616223152004,18.390166548325837,17.63187917068502,18.50057748672414
it,17.96376631790339,16.367174111931835,20.08116604833452,11.535158671848947,19.104431528564717,16.867678866095694,18.281873808365265,20.833517280460846
pt,18.301273472213026,14.092127440792533,20.448711169640674,17.1858787754923,12.500808509140947,16.095607567073397,18.190909243769493,21.205531955159373
fr,15.670118244276768,14.576363538650886,18.751745570469314,16.537071078830934,17.352354327505005,10.027722619126763,15.304362294094645,19.852221637853273
nl,13.103127661798554,14.213384759381759,15.159327862614994,15.056886469968926,16.27256119324803,13.203934804322456,9.470454872473995,16.200652245171764
tl,18.38908544319101,20.63627040744128,18.52784664942368,19.970805191756586,22.405428547373383,20.069553694228787,18.840969724889067,12.270473024131825
