,en,es,in,it,pt,fr,nl,tl
en,7.510245769695252,11.089342499299045,11.594473235626818,11.252795867247261,12.213692891806502,9.943856502063115,10.057848279997325,11.474128127271769
es,11.076748883418638,7.319678673611613,12.22451240341069,9.985186660681162,9.48772515629158,9.108118556854613,11.167840047892565,12.824079138936836
in,11.886253231259332,12.387671436400407,8.856234625744422,12.730324187780708,13.830946097817176,12.330035085476664,11.72946189640294,11.226582640918195
it,11.44833623722607,10.182154124324093,12.592657753871986,8.151114496310917,11.610366265252969,10.557860883220942,12.46691440424768,12.983627406338483
pt,11.52531114815916,8.931119542404785,12.74362550601377,10.516221884506578,8.104712125092535,10.116561831195632,12.061085947742216,13.37164356164184
fr,10.093131051507568,9.466561554386061,12.28535945477233,10.583144845889114,11.044688841971988,7.100751469808895,10.3371123968438,12.890589823278898
nl,9.361571937791727,10.192977422334017,10.759299714895983,11.221742924969593,11.725685467671509,9.334049256917105,7.104250485287096,11.633684095408466
tl,11.606752358317477,13.102055148297026,11.153604316951464,12.840498670825825,14.389071863853468,13.066253038278806,12.392275759935838,8.457084136486758
